Industry Group,Number of Records,Number of Unique Companies,Key Companies (Examples)
1. Technology & Software,323,178,"3M, 3Play Media, AWS, Abcom USA, Accenture, Adobe, Advanced Research Corporation, Aleran, Algorithm, Inc., Amazon"
"10. Construction, Engineering & Real Estate",145,114,"AKF Group, APi Group, Aldridge Electric, Alliant Engineering, American Engineering Testing, American Engineering Testing, Inc., Ami Consulting Engineers, Andersen Tile and Stone, Api National Service Group, Barr Engineering Co"
2. Healthcare & Medical,451,231,"515 Therapy, ACR Homes, AHS, Abbott Laboratories, Abbott Northwestern Hospital, Abdur Razzaq Counseling & Social Architecture PA, Acacia Counseling & Wellness, Acr Homes, Advocate Lutheran, Agilitihealth"
3. Financial Services & Insurance,406,210,"ADP, Abdo, AgriBank, Alliance Bank, Allianz, Allianz Life, Altafid, American Equity Investment Life Insurance, American Family Insurance, Ameriprise Financial"
4. Manufacturing & Industrial,327,213,"ALCIVIA, Abdallah Candies Inc., AbelConn Electronics, a Celestica Company, Andersen, Andersen Corp., Andersen Corporation, Andersen Windows, Andersen Windows + Doors, Andpak Midwest, Apex International"
5. Education & Academia,290,180,"ATP Flight School, Agamim Classical Academy, Amerigo Education, Anoka Hennepin School District, Anoka Hennepin School District #11, Anoka Hennepin Schools, Anoka-Hennepin School District, Anoka-Hennepin Schools, Arkansas State University, Ascension Academy"
6. Government & Public Service,239,188,"(Im)possible Cosmos, 148 FW, ADA Enterprises, Aeon, Air Force, Air Force Reserve, Always Best Care Senior Services, AmeriCorps, American Relief Agency For The Horn of Africa, American Society of Civil Engineers"
7. Professional Services & Consulting,291,205,"AIS, APS, ASGN, Acosta, Acowsay Designs, Actalent Services, Advanced Inspection Services, Agency Chief, Alive Risk, American Airlines"
8. Retail & Consumer Products,253,185,"ALDI, Altar'd State, Apex Auto Salvage, Applebee's, Artistry Theater & Visual Arts, Asmodee Group, Ball Pro, Bally Sports, BarnCo, Bath and Body Works"
9. Energy & Utilities,39,25,"All Energy Solar, Ameren, Avant Energy, Big Rock Exploration, Llc., Connexus Energy, ETU Storage, Energy Resources Marketing, Everlight Solar, Great River Energy, Lapointe Utilities"
Other,64,15,"Bill Zych, Freelance, Freelance social media and editing work, His Potter, Jenny Gezella, Matt Guttman, NA, No, No help, Paul Jonley"
