CAREER DATA SUMMARY,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
Total Job Title Entries:,2791,,
Unique Job Titles:,1811,,
Total Employer Entries:,2781,,
Unique Employers:,1752,,
,,,
TOP 30 JOB TITLES,,,
Rank,Job Title,Count,Percentage
1,Teacher,39,1.4%
2,Financial Analyst,34,1.22%
3,Software Engineer,34,1.22%
4,Special Education Teacher,28,1.0%
5,Actuarial Analyst,22,0.79%
6,Audit Associate,20,0.72%
7,Mechanical Engineer,19,0.68%
8,Associate,17,0.61%
9,Project Engineer,17,0.61%
10,Analyst,16,0.57%
11,Project Manager,15,0.54%
12,Manufacturing Engineer,14,0.5%
13,Social Worker,14,0.5%
14,Accountant,14,0.5%
15,Data Analyst,14,0.5%
16,Marketing Coordinator,13,0.47%
17,Business Analyst,13,0.47%
18,Tax Associate,13,0.47%
19,Sales Development Representative,12,0.43%
20,Data Engineer,12,0.43%
21,Account Manager,11,0.39%
22,Sales Associate,11,0.39%
23,Marketing Specialist,11,0.39%
24,Associate Consultant,11,0.39%
25,Data Scientist,10,0.36%
26,Paralegal,10,0.36%
27,Design Engineer,10,0.36%
28,Inventory Analyst,10,0.36%
29,Medical Scribe,10,0.36%
30,Program Manager,10,0.36%
,,,
TOP 30 EMPLOYERS,,,
Rank,Employer,Count,Percentage
1,University of St. Thomas,66,2.37%
2,UnitedHealth Group,50,1.8%
3,Optum,43,1.55%
4,Target,33,1.19%
5,3M,28,1.01%
6,Medtronic,26,0.93%
7,Wells Fargo,24,0.86%
8,Ecolab,21,0.76%
9,Ameriprise Financial,20,0.72%
10,Deloitte,20,0.72%
11,Boston Scientific,18,0.65%
12,US Bank,16,0.58%
13,Best Buy,15,0.54%
14,U.S. Bank,14,0.5%
15,Hennepin County,13,0.47%
16,United Health Group,13,0.47%
17,SPS Commerce,13,0.47%
18,Allina Health,13,0.47%
19,Mayo Clinic,12,0.43%
20,EY,11,0.4%
21,Allianz,11,0.4%
22,RSM,11,0.4%
23,Polaris,10,0.36%
24,Cargill,10,0.36%
25,Fairview Health Services,10,0.36%
26,PwC,10,0.36%
27,Xcel Energy,10,0.36%
28,Graco,8,0.29%
29,Anoka-Hennepin School District,8,0.29%
30,Thomson Reuters,8,0.29%
