Job Title,2021,2022,2023,2024
Account Executive,3,2,4,2
Account Manager,3,4,1,3
Accountant,4,2,4,0
Actuarial Analyst,4,3,10,5
Analyst,7,2,6,2
Associate,3,1,12,0
Associate Consultant,5,0,4,2
Audit Associate,6,5,7,2
Business Analyst,2,0,2,2
Business Development Representative,3,0,5,0
Case Manager,1,0,4,0
Communications Coordinator,2,0,3,0
Credit Analyst,2,0,3,1
Data Analyst,2,1,4,1
Design Engineer,3,3,3,1
Financial Advisor,2,1,4,0
Financial Analyst,10,7,11,3
Financial Services Associate,0,0,5,0
Graduate Engineer,2,2,0,1
Intern,35,15,9,7
Inventory Analyst,4,2,2,0
Investment Analyst,0,0,7,0
Investment Banking Analyst,4,1,2,0
Laboratory Technician,1,1,3,0
Leadership Development Program Associate,0,0,5,0
Legal Assistant,2,0,2,1
Manufacturing Engineer,3,1,5,1
Marketing Associate,3,1,2,1
Marketing Coordinator,5,4,2,1
Marketing Specialist,5,0,5,0
Mechanical Design Engineer,2,1,3,0
Mechanical Engineer,6,1,8,2
Medical Scribe,4,2,2,1
Paralegal,2,0,4,0
Project Engineer,7,3,4,0
Project Manager,5,5,5,1
Recruiter,3,1,2,0
Sales Associate,4,1,9,0
Sales Development Representative,7,1,4,0
Sales Representative,3,0,3,0
Scribe,2,2,0,1
Server,2,0,4,0
Software Developer,6,2,2,1
Software Engineer,10,5,12,2
Staff Accountant,3,0,3,1
Tax Associate,5,1,4,2
Teacher,19,3,10,4
Technical Recruiter,4,0,3,0
Underwriter,2,1,2,0
Unknown,249,637,122,203
