Major,2021,2022,2023,2024
Accounting,54,47,32,12
Actuarial Science,27,26,23,10
Art History,0,1,0,1
Biochemistry,15,18,6,2
Biology,47,32,35,28
Biology of Global Health,6,7,2,2
Bus Admin - Communication,15,8,8,0
Business Communication,0,0,0,3
COJO Creative Multimedia,9,0,0,0
COJO Interpersonal Comm,0,1,0,0
COJO Journalism,9,3,0,0
COJO Persuasion/Soc Influence,4,3,0,0
COJO Strategic Communications,15,4,1,0
Catholic Studies,10,10,6,4
Chemistry,9,6,6,3
Civil Engineering,5,23,11,12
Classical Civilization,0,2,0,0
Communication Studies,0,5,17,1
Communication and Journalism,1,0,1,0
Comp Science BS (Master Track),0,0,0,1
Computer Engineering,11,8,8,9
Computer Science,48,32,24,10
Criminal Justice,9,6,8,1
Data Analytics,6,7,10,6
Digital Media Arts,3,7,7,8
Economics,40,25,21,8
Electrical Engineering,19,17,12,3
Elementary Education (K-6),16,7,2,7
English,8,4,1,1
English - Creative Writing,10,8,1,2
English - Professional Writing,3,2,2,2
Entrepreneurship,21,40,34,11
Environmental Sci (Biology),3,2,3,1
Environmental Sci (Chemistry),0,1,0,0
Environmental Sci (Geoscience),1,3,3,2
Environmental Science,0,0,0,2
Environmental Studies,4,2,3,3
Exercise Science,22,16,17,9
Family Business,0,0,0,1
Family Studies,3,3,2,0
Financial Management,109,120,101,40
French,2,1,0,0
Gen Business Mgmt,42,38,30,14
Geography,1,0,0,0
Geography - Geo Info Sys (GIS),2,1,1,1
Geology,3,4,2,0
German,0,1,0,0
Health Promotion & Wellness,3,4,0,2
History,8,4,3,3
Human Resources Management,15,14,15,7
Individualized,4,1,5,0
International Business,6,3,9,3
Intl Studies - Economics,1,1,1,1
Intl Studies - History,1,1,0,1
Intl Studies - Pol Sci,2,2,4,2
Journalism,0,7,7,3
Justice & Peace Studies,7,1,3,0
K-12 Music Education,1,1,1,0
K-12 World Lang. & Cultures,1,0,0,0
Law & Compliance,1,11,11,7
Leadership & Management,16,21,13,9
Legal Studies,6,3,1,0
MS Business Analytics,0,1,0,0
MS Operations & Supply Chain Mgmt,1,24,27,9
Marketing Management,104,99,86,34
Mathematics,6,6,8,2
Mechanical Engineering,75,57,53,24
Middle/Secondary Education,3,3,5,3
Music,1,0,2,0
Music - Business,3,0,5,3
Music - Performance,2,0,0,0
Neuroscience,28,20,15,5
Nursing,0,0,0,1
Operations Management,40,15,0,0
Philosophy,17,9,6,7
Physics,2,1,0,3
Political Science,23,11,10,6
Psychology,34,32,23,10
Public Health,9,8,6,3
Quant Methods - Computer Sci,0,0,1,0
Real Estate Studies,15,10,6,6
Risk Management and Insurance,0,2,0,0
Social Work,7,9,8,2
Social Work Advanced Standing,0,2,0,0
Sociology,7,1,2,1
Spanish Cultural/Literary St.,2,2,1,0
Spanish Linguistics/Lang. St.,2,0,0,1
Statistics,6,8,3,1
Strategic Comm: Ad and PR,0,10,8,4
Strategic Communication,1,0,0,0
Theology,0,1,2,0
